index,number,code,offset,pitch,name,octave,type,duration,velocity
0,1,<music21.harmony.ChordSymbol Fm>,0.0,41.0,F,2,half,2.0,0.7086600000000001
0,1,<music21.harmony.ChordSymbol Fm>,2.0,48.0,C,3,half,2.0,0.7086600000000001
0,2,<music21.harmony.ChordSymbol Fm>,4.0,51.0,E-,3,half,2.0,0.7086600000000001
0,2,<music21.harmony.ChordSymbol Fm>,6.0,55.0,G,3,half,2.0,0.7086600000000001
0,3,<music21.harmony.ChordSymbol Fm>,8.0,53.0,F,3,whole,4.0,0.7086600000000001
0,4,<music21.harmony.ChordSymbol Fm>,12.0,50.0,D,3,whole,4.0,0.7086600000000001
0,5,<music21.harmony.ChordSymbol Fm>,16.0,41.0,F,2,half,2.0,0.7086600000000001
0,5,<music21.harmony.ChordSymbol Fm>,18.0,48.0,C,3,half,2.0,0.7086600000000001
0,6,<music21.harmony.ChordSymbol E->,20.0,51.0,E-,3,half,2.0,0.7086600000000001
0,6,<music21.harmony.ChordSymbol E->,22.0,55.0,G,3,half,2.0,0.7086600000000001
0,7,<music21.harmony.ChordSymbol B->,24.0,53.0,F,3,half,2.0,0.7086600000000001
0,7,<music21.harmony.ChordSymbol B->,26.0,46.0,B-,2,half,2.0,0.7086600000000001
0,8,<music21.harmony.ChordSymbol B->,28.0,50.0,D,3,half,2.0,0.7086600000000001
0,8,<music21.harmony.ChordSymbol B->,30.0,46.0,B-,2,half,2.0,0.7086600000000001
0,9,<music21.harmony.ChordSymbol Fm>,32.0,41.0,F,2,half,2.0,0.7086600000000001
0,9,<music21.harmony.ChordSymbol Fm>,34.0,48.0,C,3,half,2.0,0.7086600000000001
0,10,<music21.harmony.ChordSymbol E->,36.0,51.0,E-,3,half,2.0,0.7086600000000001
0,10,<music21.harmony.ChordSymbol E->,38.0,55.0,G,3,half,2.0,0.7086600000000001
0,11,<music21.harmony.ChordSymbol B->,40.0,53.0,F,3,half,2.0,0.7086600000000001
0,11,<music21.harmony.ChordSymbol B->,42.0,46.0,B-,2,half,2.0,0.7086600000000001
0,12,<music21.harmony.ChordSymbol B->,44.0,50.0,D,3,half,2.0,0.7086600000000001
0,12,<music21.harmony.ChordSymbol B->,46.0,46.0,B-,2,half,2.0,0.7086600000000001
0,13,<music21.harmony.ChordSymbol Fm>,48.0,41.0,F,2,half,2.0,0.7086600000000001
